Chemical,MAE_ngmL,RMSE_ngmL,R2,Evaluation
Butylparaben,0.7969,0.8954,-0.1183,train_reconstruction
Tri(ethylene glycol) bis(2-ethylhexanoate),1.3876,1.5019,-0.5588,train_reconstruction
2-methylphenol,1.1781,1.9,-0.0126,train_reconstruction
"""2,4,5-trichlorophenol""",0.8849,0.9788,-0.1836,train_reconstruction
Eugenol,0.8105,1.7131,-0.0576,train_reconstruction
Isoeugenol,0.9541,1.1904,-0.0269,train_reconstruction
4-tert-butylphenol,0.9103,1.043,-0.098,train_reconstruction
Nitrobenzene,1.3356,1.9941,-0.0351,train_reconstruction
3-nitrotoluene,1.5894,1.7813,-0.3201,train_reconstruction
2-methoxy-5-nitroaniline,1.5023,2.2801,-0.0539,train_reconstruction
4-(butan-2-yl)phenol,1.1506,1.2714,-0.2514,train_reconstruction
Methylparaben,0.9437,1.9022,-0.0198,train_reconstruction
4-nitrotoluene,1.6424,1.8469,-0.3266,train_reconstruction
Diltiazem hydrochloride,1.8476,2.256,-0.2331,train_reconstruction
Dexamethasone,1.6841,2.088,-0.1749,train_reconstruction
Diclofenac,0.3196,0.3654,-0.0022,train_reconstruction
Ibuprofen,1.2677,1.3877,-0.3226,train_reconstruction
Tolbutamide,5.7,6.153,-0.5291,train_reconstruction
Naproxen,3.2564,3.5799,-0.2427,train_reconstruction
Atenolol,1.352,2.9843,-0.0175,train_reconstruction
Diclofenac sodium,2.5108,3.2746,-0.2719,train_reconstruction
"2,2'-methylenebis(ethyl-6-tert-butylphenol)",0.2072,0.3861,0.8296,train_reconstruction
Buspirone,1.7506,1.8604,-0.6677,train_reconstruction
Metoprolol,1.3249,1.9709,-0.0346,train_reconstruction
"2,2,4-trimethyl-1,3-pentanediol diisobutyrate",5.4182,5.5616,-4.0191,train_reconstruction
Phenacetin,1.2185,2.1583,-0.0116,train_reconstruction
Furosemide,177.1422,179.6068,-24.0444,train_reconstruction
"2,3,6-trimethylphenol",0.8314,1.4208,-0.0336,train_reconstruction
Oxazepam,2.548,2.7522,-0.5775,train_reconstruction
