CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
131-55-5,"2,2',4,4'-tetrahydroxybenzophenone",19.2,9.655,22.406,45.389,0.57714,0.580344,0.588699,,,,
79-95-8,"2,2',6,6'-tetrachlorobisphenol a",18.7,8.514,18.526,86.129,0.279058,0.296052,0.321512,,,,
6846-50-0,"2,2,4-trimethyl-1,3-pentanediol diisobutyrate",9.95,18.395,27.214,38.184,0.037867,0.04849,0.066219,,,,
1143-72-2,"2,3,4-trihydroxbenzophenone",94.1,29.369,50.079,105.329,1.46422,1.471434,1.481132,,,,
2416-94-6,"2,3,6-trimethylphenol",106.0,18.773,25.851,37.327,5.798163,5.804784,5.812905,,,,
96-76-4,"2,4-di-tert-butylphenol",2.52,1.722,7.839,26.031,0.02213,0.022249,0.022856,,,,
1470-79-7,"2,4,4'-trihydroxybenzophenone",21.1,27.725,49.668,104.915,0.347359,0.348995,0.351453,,,,
527-60-6,"2,4,6-trimethylphenol",163.0,17.142,24.478,36.542,10.222366,10.233398,10.2477,,,,
79-74-3,"2,5-bis(2-methylbutan-2-yl)benzene-1,4-diol",11.4,20.328,30.244,44.406,0.127523,0.128223,0.129293,,,,
88-58-4,"2,5-di-tert-butylbenzene-1,4-diol",117.0,22.582,34.679,53.556,1.719007,2.299241,3.181059,,,,
95-74-9,3-chloro-4-methylaniline,65.3,20.693,34.29,58.035,7.233835,7.239033,7.247381,,,,
55406-53-6,3-iodo-2-propynyl-n-butylcarbamate,486.0,5.232,8.993,14.143,1369.835603,1370.315856,1371.645394,,,,
618-45-1,3-isopropylphenol,19.9,8.863,19.43,34.07,0.72186,0.722855,0.725615,,,,
108-44-1,3-methylaniline,32.9,6.933,17.139,37.19,10.390367,10.390367,10.403813,,,,
585-34-2,3-tert-butylphenol,40.2,10.429,21.88,36.908,1.143191,1.144791,1.149105,,,,
612-82-8,"3,3'-dimethylbenzidine dihydrochloride",25.4,5.982,15.965,25.384,2.569005,2.57353,2.59388,,,,
79-94-7,"3,3',5,5'-tetrabromobisphenol a",50.5,11.615,22.872,42.271,0.418494,0.475984,0.597382,,,,
99-54-7,"3,4-dichloronitrobenzene",387.0,40.313,118.673,450.974,3.305775,4.808689,8.773257,,,,
626-43-7,"3,5-dichloroaniline",86.1,21.496,30.039,53.085,3.160811,3.168437,3.175418,,,,
18979-55-0,4-(hexyloxy)phenol,83.6,28.239,54.275,167.555,0.043512,0.049275,0.057134,,,,
122-37-2,4-anilinophenol,75.1,24.487,32.69,50.26,2.401367,2.405212,2.408897,,,,
104-13-2,4-butylaniline,26.4,18.888,27.07,40.426,0.635735,0.636863,0.638343,,,,
4344-55-2,4-butyloxyaniline,28.4,8.949,35.442,67.738,2.368455,2.369623,2.380093,,,,
1638-22-8,4-butylphenol,127.0,19.277,29.709,46.423,1.628907,1.633702,1.640909,,,,
95-83-0,"4-chloro-1,2-diaminobenzene",31.6,12.062,39.74,79.115,9.330918,9.330918,9.339697,,,,
