CAS,Compound,log10_lit,log10_pred,fold_error,in_pilot,SHAP_log10_MW,SHAP_logP,SHAP_logP^2,SHAP_log10_Fup,SHAP_sqrt_Fup,SHAP_MW*logP,SHAP_MW*Fup,SHAP_logP*Fup,SHAP_MW,MW,logP,Fup,Clint
50-29-3,"""p,p'-ddt""",1.0969447551769405,1.5965813945026734,3.159632987397629,True,-0.015477070651071548,-0.08599245985257048,-0.030760632789091007,0.028295000032891128,0.0005914237532301944,0.13042823246615157,0.28952162645697876,0.012022435876815719,-0.001139424672056526,354.5,6.91,1e-06,12.5
50892-23-4,Pirinixic acid,0.8756977619802079,1.3497911055294185,2.979156675130722,True,-0.0024788462058415676,-0.0370239763793827,0.006988830502939885,0.022705989440637734,-0.0024552553852809833,-0.043263714805224375,0.16841620444313804,-0.03014584318663645,-0.002044546776326551,323.8,2.067,0.005454,7.51
51-52-5,6-propyl-2-thiouracil,0.12188798510368108,0.5748965721171426,2.8379751412655394,True,0.06180617772887587,-0.3803161470958058,-0.16100400413025273,0.006418788667095033,-0.004654532002016104,0.11401906663058022,-0.3762405963395106,0.014246951886530216,0.03152860289025265,170.2,-0.3859,0.4736,1.323
527680-56-4,"""n-[(3r)-1-azabicyclo[2.2.2]oct-3-yl]-2,3-dihydro-1,4-benzodioxine-6-carboxamide""",0.5669086552268034,0.7769273294783887,1.621879835157105,True,-0.003906723567819457,-0.025015519470401378,-0.11477919074487616,-0.05328527885710024,-0.11890250774116387,-0.03583542277259836,-0.16732663772594591,0.005160657218640726,0.021725689258258442,288.3,1.835,1.0,3.688
528-29-0,"""1,2-dinitrobenzene""",1.3838333116626265,1.3604703327909455,1.0552685105109003,True,0.10049587166797526,-0.02177038140776859,-0.03289638510229199,0.0071446185877115645,0.004066380604000442,0.00750658319642006,-0.03777938277316087,-0.012037383848522687,0.076648147985187,168.1,1.69,0.06949,24.2
52-86-8,Haloperidol,0.704407927386841,0.9034555180811055,1.581421324491439,True,-0.030676304566136736,0.04086234964572256,0.03586768769923978,-0.033883987132533586,-0.009081407609156409,0.025241380628198928,-0.3073564272625778,-0.07314491362473778,-0.013465123578307741,375.9,4.288,0.1784,5.062
53-03-2,Prednisone,0.9586116577648793,0.8766949444766098,1.207582229130325,True,-0.014912077901682034,-0.01850413208430362,-0.053331730437660194,-0.020629025757504905,-0.005803448674014967,-0.03906907365433032,-0.2562076396127639,0.029973202752110222,-0.013913394034635203,358.4,1.466,0.4818,9.09
548-62-9,Hexamethyl-p-rosaniline chloride,0.9202798946329483,1.0991523838655894,1.5096368530791946,True,-0.10396326460071431,-0.051801100386805875,-0.05807189612502711,0.0018744889089873278,0.0037284277527596,-0.02307554906097101,0.163424797110437,-0.027963633608945403,-0.074092150005526,408.0,0.9598,0.01384,8.322
55285-14-8,Carbosulfan,1.4271776440015607,1.4558117379056712,1.0681545478301615,True,-0.03258333706770537,-0.05385221536389482,-0.04170323634758531,0.03407902804913456,-0.00386187084684703,0.1372976710453152,0.16443030234734496,-0.014522261629428056,-0.0025646061620579726,380.6,4.829,0.005,26.74
563-12-2,Ethion,1.0174924464772752,1.4863858275985347,2.9436988698344546,True,-0.03698268896731956,-0.06784254461858022,-0.04984525468562593,0.028295000032891128,0.0005914237532301944,0.1267100519844753,0.23620526014119983,-0.008114209323738804,-0.01172347459939224,384.5,5.066,1e-06,10.41
56-53-1,Diethylstilbestrol (des),1.596608090284298,1.1799015379795814,2.6103969437267014,True,-0.0031958685428574263,-0.11298208929320822,-0.07644237282968115,0.0010147355015065413,-0.020256767096270552,-0.02790458796279502,0.1624075118130712,-0.015428573235328334,0.003597285743749357,268.4,5.067,0.00935,39.5
56-55-3,Benz[a]anthracene,1.2617623176096195,1.211197860417527,1.123477701805122,True,-0.004354398629896611,-0.08974397525070346,-0.07644237282968115,0.004963771189001749,0.0038194221021844014,-0.04695960701017627,0.16286909653846954,-0.015428573235328334,0.003382233662262083,228.3,5.602,0.01121,18.27
57-41-0,Phenytoin,-0.08682216600953196,1.0382853027306749,13.338514607671257,True,-0.009019179859920165,-0.02309237056213646,0.01209940358512765,-0.02015724072460109,-0.009450075682882527,-0.040569889087672444,-0.15347531718390214,0.014855272826895846,-0.0019975644616295725,252.3,2.364,0.1624,0.8178
576-26-1,"""2,6-dimethylphenol""",1.3121985203725284,1.4279171898897325,1.3053250411138424,True,0.11000318003906148,-0.00785775844015748,0.02357977570853707,-0.016085464632637034,-0.007853596953179484,0.017735691990184148,-0.06702252767407327,0.04347124806190851,0.0628543779086934,122.2,2.36,0.2086,20.52
57-83-0,Progesterone,1.5276427877567538,1.509809602279319,1.0419171473196867,True,-0.0034848218033521933,0.0836695714998774,0.05009431341428179,-0.002991877679779649,-0.0011767251345701627,-0.0415250149739129,0.17212918404363242,-0.015758638636869122,-0.0002386523313834875,314.5,3.871,0.02311,33.7
579-66-8,"""2,6-diethylaniline""",1.2076612911967817,1.5323968002062618,2.1122022893743204,True,0.1398166574750726,0.04043601755422315,0.05693165956630643,0.0016074853517634425,0.00041975359513288213,-0.020918106620659516,-0.04047067430284551,-0.009000808175087754,0.09448255188096091,149.2,2.741,0.08962,16.13
57-97-6,"""7,12-dimethylbenz(a)anthracene""",0.508798965403905,1.1745385004756366,4.631690541796196,True,-0.0031958685428574263,-0.13191139846625746,-0.10110211962188546,0.03407902804913456,-0.00386187084684703,-0.04274551407182287,0.16590867071259735,-0.013458998642195151,0.00173430802437503,256.3,5.8,0.005,3.226
58-08-2,Caffeine,-0.5428753736965912,0.08551696800993121,4.2500333865532545,True,0.019340272528034202,-0.3233104498210996,-0.2576246449376285,-0.1051051711895017,-0.16673530275631568,0.006739249044178324,-0.29161147718068936,-0.013804972744652515,-0.051462798813787666,194.2,-0.07099,1.0,0.2855
58-14-0,Pyrimethamine,0.44232295574557445,1.0887583116703765,4.430322649002227,True,-0.008937610233257683,-0.0028002413392409745,0.02212940595355957,-0.00025876726581897005,-0.003930044263036771,-0.04520847029160254,-0.12285336655213398,-0.01483751746981669,-0.0036373407496714397,248.7,2.69,0.1177,2.768
