DTXSID,CAS,Compound,MW,logP,Fup,AC50_10pct_uM,SEEM_mg_kg_day,Clint_httk,Clint_GCN,Clint_RF,CL_httk,CL_GCN,CL_RF,AED_httk,AED_GCN,AED_RF,BER_httk,BER_GCN,BER_RF,BER_httk_ref,concern_httk,concern_GCN,concern_RF
DTXSID9032379,97886-45-8,Dithiopyr,401.4,4.749,0.005,1.0,,13.25,65.9659,7.9532,1.325154,1.461273,1.229692,12.766008,14.077318,11.846363,,,,,no_data,no_data,no_data
DTXSID0020446,330-54-1,Diuron,233.1,2.678,0.1615,1.0,,12.15,17.6115,10.1101,1.493347,1.495404,1.492012,8.354383,8.365889,8.346914,,,,,no_data,no_data,no_data
DTXSID0034566,155569-91-8,Emamectin benzoate,1008.0,5.0,0.001379,1.0,,0.0,27.9234,8.0892,0.0,1.222486,0.840987,0.0,29.574376,20.345169,,,,,no_data,no_data,no_data
DTXSID1020560,115-29-7,Endosulfan,406.9,3.828,0.11,1.0,,0.0,29.5772,43.7334,0.0,1.495981,1.497279,0.0,14.609149,14.621831,,,,,no_data,no_data,no_data
DTXSID1024091,759-94-4,Eptc,189.3,3.21,0.005,1.0,,80.36,115.5894,0.0167,1.468062,1.477651,0.014193,6.669699,6.713264,0.064482,,,,,no_data,no_data,no_data
DTXSID4032667,66230-04-4,Esfenvalerate,419.9,6.2,1e-06,1.0,,0.0,20.1433,15.5286,0.0,0.280923,0.226274,0.0,2.831032,2.280297,,,,,no_data,no_data,no_data
DTXSID8032386,55283-68-6,Ethalfluralin,333.3,5.11,0.005,1.0,,0.0,26.2321,6.5477,0.0,1.406278,1.183897,0.0,11.249098,9.470227,,,,,no_data,no_data,no_data
DTXSID9034573,97780-06-8,Ethametsulfuron methyl,410.4,1.59,0.01566,1.0,,0.0,0.4835,3.7621,0.0,0.696224,1.306197,0.0,6.85753,12.865518,,,,,no_data,no_data,no_data
DTXSID8034580,26225-79-6,Ethofumesate,286.3,2.703,0.1313,1.0,,17.64,31.266,10.4051,1.49436,1.496813,1.490464,10.268048,10.2849,10.241274,,,,,no_data,no_data,no_data
DTXSID4032611,13194-48-4,Ethoprop,242.3,3.588,0.09346,1.0,,20.95,106.3165,10.5756,1.493333,1.498682,1.48685,8.684031,8.715133,8.646333,,,,,no_data,no_data,no_data
DTXSID8034586,153233-91-1,Etoxazole,359.4,3.762,0.005,1.0,,18.48,14.0088,12.5979,1.370361,1.333574,1.317207,11.820183,11.502879,11.3617,,,,,no_data,no_data,no_data
DTXSID3032547,2593-15-9,Etridiazole,247.5,3.368,0.005,1.0,,127.0,0.0818,24.8691,1.479632,0.067047,1.401479,8.789013,0.398261,8.324783,,,,,no_data,no_data,no_data
DTXSID2034590,161326-34-7,Fenamidone,311.4,2.747,0.02436,1.0,,17.74,4.2325,2.9686,1.47026,1.382767,1.338237,10.988137,10.33425,10.001451,,,,,no_data,no_data,no_data
DTXSID3024102,22224-92-6,Fenamiphos,303.4,3.23,0.04138,1.0,,62.11,37.9238,17.9963,1.494916,1.491691,1.482597,10.885378,10.861897,10.795679,,,,,no_data,no_data,no_data
DTXSID2032390,60168-88-9,Fenarimol,331.2,3.59,0.03671,1.0,,3.788,0.2937,18.8907,1.411286,0.828387,1.481328,11.218026,6.584684,11.774779,,,,,no_data,no_data,no_data
DTXSID8032548,114369-43-6,Fenbuconazole,336.8,3.229,0.0188,1.0,,21.7,0.3271,9.2757,1.468534,0.61946,1.428399,11.870455,5.007221,11.546035,,,,,no_data,no_data,no_data
DTXSID3032549,126833-17-8,Fenhexamid,302.2,3.513,0.05719,1.0,,35.27,20.3408,23.3185,1.493528,1.488813,1.490232,10.832257,10.798061,10.808354,,,,,no_data,no_data,no_data
DTXSID4032613,122-14-5,Fenitrothion,277.2,3.301,0.005,1.0,,10.02,40.7091,33.4157,1.277165,1.438235,1.425424,8.496724,9.56829,9.483063,,,,,no_data,no_data,no_data
DTXSID2032392,66441-23-4,Fenoxaprop-ethyl,361.8,4.579,0.005,1.0,,0.0,3.1605,7.9532,0.0,0.965775,1.229692,0.0,8.386018,10.677664,,,,,no_data,no_data,no_data
DTXSID7032393,72490-01-8,Fenoxycarb,301.3,4.297,0.00327,1.0,,23.1,19.11,19.0346,1.344421,1.315924,1.315285,9.72178,9.515712,9.511088,,,,,no_data,no_data,no_data
DTXSID8020620,55-38-9,Fenthion,278.3,4.09,0.02203,1.0,,87.2,79.5505,6.0724,1.493205,1.492555,1.407997,9.973418,9.969075,9.404295,,,,,no_data,no_data,no_data
DTXSID4034609,120068-37-3,Fipronil,437.1,3.998,0.0461,1.0,,0.0,2.9137,13.3451,0.0,1.408349,1.478986,0.0,14.774142,15.515151,,,,,no_data,no_data,no_data
