"Compound","CAS","DTXSID","logP","MW","pKa_Accept","pKa_Donor","Human.Clint","Human.Clint.pValue","Human.Funbound.plasma","Human.Rblood2plasma","MW_num","logP_num","Fup_num","Rblood2plasma_num","Clint_native","Clint_rf","needs_clint_impute","Clint_used","Clint_source","n_tc_assays","AC50_5pct_uM","AC50_med_uM","AC50_source","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway"
"Diclosulam","145701-21-9","DTXSID4034528",2.52,406.2," ","8.76",3.442,5.66e-06,0.00648,NA,406.2,2.52,0.00648,NA,3.442,5.92281412542396,FALSE,3.442,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dicofol","115-32-2","DTXSID4020450",5.024,370.5," ","11",27.8,0.00052,1.57e-08,NA,370.5,5.024,1.57e-08,NA,27.8,20.9279227106238,FALSE,27.8,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dicrotophos","141-66-2","DTXSID9023914",0.0002994,237.2," "," ",0,0.09194,0.8457,NA,237.2,0.0002994,0.8457,NA,0,2.42583160852783,TRUE,2.42583160852783,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Diethylhexyl phthalate (dehp)","117-81-7","DTXSID5020607",7.525,390.6," "," ",0,0.1937,0.04558,NA,390.6,7.525,0.04558,NA,0,2.60467275737994,TRUE,2.60467275737994,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Diethyltoluamide","134-62-3","DTXSID2021995",2.184,191.3," "," ",3.797,5.47e-05,0.3559,NA,191.3,2.184,0.3559,NA,3.797,5.78928419213982,FALSE,3.797,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Difenoconazole","119446-68-3","DTXSID4032372",4.297,406.3,"1.95"," ",30.6,0,0.0115,NA,406.3,4.297,0.0115,NA,30.6,30.1439998677063,FALSE,30.6,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Difenzoquat metilsulfate","43222-48-6","DTXSID6024048",0.5632,360.4," "," ",0,0.6409,0.8513,NA,360.4,0.5632,0.8513,NA,0,4.17863392915203,TRUE,4.17863392915203,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dimethenamid","87674-68-8","DTXSID4032376",2.15,275.8," "," ",19.92,9.76e-12,0.2318,NA,275.8,2.15,0.2318,NA,19.92,13.7901123770897,FALSE,19.92,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dimethoate","60-51-5","DTXSID7020479",0.7805,229.2," "," ",3.682,0.002428,0.9649,NA,229.2,0.7805,0.9649,NA,3.682,3.43892574585302,FALSE,3.682,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dimethomorph","110488-70-5","DTXSID7034545",2.68,387.9," "," ",20.3,3e-08,0.09428,NA,387.9,2.68,0.09428,NA,20.3,11.0679973048611,FALSE,20.3,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
