CAS,SMILES
29091-21-2,CCCN(CCC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
1610-18-0,COc1nc(NC(C)C)nc(NC(C)C)n1
7287-19-6,CSc1nc(NC(C)C)nc(NC(C)C)n1
25606-41-1,[Cl-].CCCOC(=O)NCCC[NH+](C)C
709-98-8,CCC(=O)Nc1ccc(Cl)c(Cl)c1
139-40-2,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
31218-83-4,CCN[P](=S)(OC)OC(/C)=C\C(=O)OC(C)C
114-26-1,CNC(=O)Oc1ccccc1OC(C)C
23950-58-5,CC(C)(NC(=O)c1cc(Cl)cc(Cl)c1)C#C
94125-34-5,COc1nc(C)nc(NC(=O)N[S](=O)(=O)c2ccccc2CCC(F)(F)F)n1
123312-89-0,CC1=NNC(=O)N(C1)\N=C\c2cccnc2
175013-18-0,CON(C(=O)OC)c1ccccc1COc2ccn(n2)c3ccc(Cl)cc3
96489-71-3,CC(C)(C)N1N=CC(=C(Cl)C1=O)SCc2ccc(cc2)C(C)(C)C
53112-28-0,Cc1cc(C)nc(Nc2ccccc2)n1
95737-68-1,CC(COc1ccc(Oc2ccccc2)cc1)Oc3ccccn3
123343-16-8,[Na+].COc1cc(OC)nc(Sc2cccc(Cl)c2C([O-])=O)n1
84087-01-4,OC(=O)c1c(Cl)ccc2cc(Cl)cnc12
124495-18-7,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1
10453-86-8,CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C
122931-48-0,CC[S](=O)(=O)c1cccnc1[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2
83-79-4,COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C
28434-00-6,CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C
122-34-9,CCNc1nc(Cl)nc(NCC)n1
118134-30-8,CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1
122836-35-5,CC1=NN(C(=O)N1C(F)F)c2cc(N[S](C)(=O)=O)c(Cl)cc2Cl
112410-23-8,CCc1ccc(cc1)C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C
119168-77-3,CCc1nn(C)c(C(=O)NCc2ccc(cc2)C(C)(C)C)c1Cl
96182-53-5,CCO[P](=S)(OC(C)C)Oc1cnc(nc1)C(C)(C)C
34014-18-1,CNC(=O)N(C)c1sc(nn1)C(C)(C)C
79538-32-2,Cc1c(F)c(F)c(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)c(F)c1F
5902-51-2,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C
7696-12-0,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C
148-79-8,[nH]1c2ccccc2nc1c3cscn3
111988-49-9,Clc1ccc(CN2CCSC2=NC#N)cn1
153719-23-4,CN1COCN(Cc2sc(Cl)nc2)/C1=N/[N+]([O-])=O
117718-60-2,COC(=O)c1c(CC(C)C)c(C2=NCCS2)c(nc1C(F)F)C(F)(F)F
51707-55-2,O=C(Nc1snnc1)Nc2ccccc2
28249-77-6,CCN(CC)C(=O)SCc1ccc(Cl)cc1
23564-05-8,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC
43121-43-3,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2
55219-65-3,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n2cncn2
82097-50-5,COc1nc(C)nc(NC(=O)N[S](=O)(=O)c2ccccc2OCCCl)n1
78-48-8,CCCCS[P](=O)(SCCCC)SCCCC
55335-06-3,OC(=O)COc1nc(Cl)c(Cl)cc1Cl
81-81-2,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O
199119-58-9,[Na+].COc1cc(OC)nc(NC(=O)N=[S]([O-])(=O)c2ncccc2OCC(F)(F)F)n1
85532-75-8,CCC(C)N(C)C(=O)c1cc2ccccc2c(n1)c3ccccc3Cl
126535-15-7,COC(=O)c1cccc(C)c1[S](=O)(=O)NC(=O)Nc2nc(OCC(F)(F)F)nc(n2)N(C)C
131983-72-7,CC1(C)CC/C(=C/c2ccc(Cl)cc2)C1(O)Cn3cncn3
50471-44-8,CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C
156052-68-5,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl
101-54-2,Nc1ccc(Nc2ccccc2)cc1
101-61-1,CN(C)c1ccc(Cc2ccc(cc2)N(C)C)cc1
101-80-4,Nc1ccc(Oc2ccc(N)cc2)cc1
101-86-0,CCCCCC\C(C=O)=C/c1ccccc1
102-06-7,NC(Nc1ccccc1)=Nc2ccccc2
102-27-2,CCNc1cccc(C)c1
1024-57-3,ClC1C2OC2C3C1C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl
103-23-1,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
103-24-2,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC
103-90-2,CC(=O)Nc1ccc(O)cc1
104-67-6,CCCCCCC[C@H]1CCC(=O)O1
10540-29-1,CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(OCCN(C)C)cc3
105-99-7,CCCCOC(=O)CCCCC(=O)OCCCC
10605-21-7,COC(=O)Nc1[nH]c2ccccc2n1
106-44-5,Cc1ccc(O)cc1
106-65-0,COC(=O)CCC(=O)OC
107534-96-3,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn2cncn2
108-46-3,Oc1cccc(O)c1
108-95-2,Oc1ccccc1
110235-47-7,CC#Cc1cc(C)nc(Nc2ccccc2)n1
110-26-9,C=CC(=O)NCNC(=O)C=C
111-21-7,CC(=O)OCCOCCOCCOC(C)=O
1119-40-0,COC(=O)CCCC(=O)OC
112-50-5,CCOCCOCCOCCO
114-07-8,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
115-86-6,O=[P](Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3
117-84-0,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC
119-61-9,O=C(c1ccccc1)c2ccccc2
119-90-4,COc1cc(ccc1N)c2ccc(N)c(OC)c2
119-93-7,Cc1cc(ccc1N)c2ccc(N)c(C)c2
50-78-2,CC(=O)Oc1ccccc1C(O)=O
120-71-8,COc1ccc(C)cc1N
