CAS,Compound,MW,logP,Fup,Clint,Clint_final,Clint_source
57-83-0,Progesterone,314.5,3.871,0.02311,33.7,33.7,httk_measured
579-66-8,"""2,6-diethylaniline""",149.2,2.741,0.08962,16.13,16.13,httk_measured
57-97-6,"""7,12-dimethylbenz(a)anthracene""",256.3,5.8,0.005,3.226,3.226,httk_measured
58-08-2,Caffeine,194.2,-0.07099,1.0,0.2855,0.2855,httk_measured
58-14-0,Pyrimethamine,248.7,2.69,0.1177,2.768,2.768,httk_measured
59756-60-4,Fluridone ,329.3,3.046,0.1378,5.594,5.594,httk_measured
599-79-1,Sulfasalazine,398.4,2.425,0.004,5.16,5.16,httk_measured
60-09-3,4-aminoazobenzene,197.2,3.409,0.0171,15.7,15.7,httk_measured
606-20-2,"""2,6-dinitrotoluene""",182.1,2.098,0.131,34.64,34.64,httk_measured
63-05-8,Androstenedione,286.4,2.752,0.1744,25.92,25.92,httk_measured
6344-67-8,3-hydroxyfluorene,182.2,3.189,0.02488,20.56,20.56,httk_measured
732-11-6,Phosmet,317.3,2.781,0.0477,23.82,23.82,httk_measured
75330-75-5,Lovastatin,404.5,4.258,0.01429,21.9,21.9,httk_measured
77-09-8,Phenolphthalein,318.3,2.89,0.03116,47.4,47.4,httk_measured
77-40-7,Bisphenol b,242.3,3.765,0.01823,35.66,35.66,httk_measured
789-02-6,"""o,p'-ddt""",354.5,6.923,1e-06,15.3,15.3,httk_measured
79902-63-9,Simvastatin,418.6,4.677,0.00398,24.3,24.3,httk_measured
80-46-6,4-(2-methylbutan-2-yl)phenol,164.2,3.491,0.005,20.96,20.96,httk_measured
838-88-0,"""4,4'-methylene bis(2-methylaniline)""",226.3,2.182,0.2257,3.984,3.984,httk_measured
85532-75-8,Pk 11195,352.9,4.793,0.01614,42.12,42.12,httk_measured
86-30-6,N-nitrosodiphenylamine,198.2,3.13,0.04368,8.288,8.288,httk_measured
86386-73-4,Fluconazole ,306.3,0.5014,0.7109,1.832,1.832,httk_measured
87-62-7,"""2,6-dimethylaniline""",121.2,1.839,0.4311,8.96,8.96,httk_measured
87-86-5,Pentachlorophenol,266.3,5.119,0.05441,8.764,8.764,httk_measured
88-06-2,"""2,4,6-trichlorophenol""",197.4,3.691,0.01512,18.76,18.76,httk_measured
91-22-5,Quinoline,129.2,2.031,0.2036,38.6,38.6,httk_measured
91-53-2,Ethoxyquin,217.3,3.106,0.01069,15.16,15.16,httk_measured
91-59-8,2-naphthylamine,143.2,2.281,0.1099,18.5,18.5,httk_measured
92-87-5,Benzidine,184.2,1.34,0.1977,6.91,6.91,httk_measured
94-13-3,Propylparaben,180.2,3.036,0.07639,38.0,38.0,httk_measured
94-26-8,Butylparaben,194.2,3.565,0.0191,39.3,39.3,httk_measured
94-28-0,Tri(ethylene glycol) bis(2-ethylhexanoate),402.6,3.6,0.005,22.62,22.62,httk_measured
95-48-7,2-methylphenol,108.1,1.951,0.38,27.48,27.48,httk_measured
95-95-4,"""2,4,5-trichlorophenol""",197.4,3.722,0.005322,26.24,26.24,httk_measured
97-53-0,Eugenol,164.2,2.272,0.1922,103.6,103.6,httk_measured
97-54-1,Isoeugenol,164.2,3.035,0.005,71.78,71.78,httk_measured
98-54-4,4-tert-butylphenol,150.2,3.31,0.1052,26.8,26.8,httk_measured
98-95-3,Nitrobenzene,123.1,1.851,0.3844,8.168,8.168,httk_measured
99-08-1,3-nitrotoluene,137.1,2.449,0.07728,16.82,16.82,httk_measured
99-59-2,2-methoxy-5-nitroaniline,168.2,1.471,0.3359,12.03,12.03,httk_measured
99-71-8,4-(butan-2-yl)phenol,150.2,3.083,0.0608,19.03,19.03,httk_measured
99-76-3,Methylparaben,152.1,1.958,0.07056,107.5,107.5,httk_measured
99-99-0,4-nitrotoluene,137.1,2.371,0.0679,19.32,19.32,httk_measured
33286-22-5,Diltiazem hydrochloride,451.0,1.746,0.22,23.48,23.48,httk_measured
50-02-2,Dexamethasone,392.5,1.92,0.32,1.791,1.791,httk_measured
15307-86-5,Diclofenac,296.2,4.52,0.005,65.42,65.42,httk_measured
15687-27-1,Ibuprofen,206.3,3.735,0.01,10.12,10.12,httk_measured
64-77-7,Tolbutamide,270.4,2.339,0.04,1.324,1.324,httk_measured
22204-53-1,Naproxen,230.3,3.18,0.002,26.48,26.48,httk_measured
29122-68-7,Atenolol,266.3,0.1596,0.94,1.986,1.986,httk_measured
15307-79-6,Diclofenac sodium,318.1,0.7004,0.004131,38.84,38.84,httk_measured
36505-84-7,Buspirone,385.5,2.629,0.05,7.66,7.66,httk_measured
